activity,round,participant_comprehension,participant_influence,trust_score,prototype_clarity,accessibility_score,burden_score,decision_traceability,implementation_commitment
Community Problem-Framing Sessions,1,6.8,6.5,6.4,6.7,6.6,5.7,5.8,5.6
Community Problem-Framing Sessions,2,7.5,7.2,7.0,7.4,7.2,5.0,6.8,6.5
Community Problem-Framing Sessions,3,8.2,7.9,7.7,8.1,7.8,4.3,7.8,7.4
Accessible Prototype Workshops,1,6.9,6.8,6.5,6.8,7.4,5.8,5.6,5.4
Accessible Prototype Workshops,2,7.7,7.5,7.2,7.6,8.2,5.0,6.7,6.3
Accessible Prototype Workshops,3,8.5,8.1,7.9,8.4,8.8,4.2,7.7,7.2
Participatory Synthesis Review,1,6.6,6.4,6.3,6.5,6.7,5.6,6.0,5.8
Participatory Synthesis Review,2,7.3,7.1,7.0,7.2,7.3,4.9,7.1,6.8
Participatory Synthesis Review,3,8.0,7.8,7.6,7.9,7.9,4.2,8.0,7.6
AI Decision-Scenario Walkthroughs,1,5.8,5.6,5.6,5.9,6.0,6.4,5.4,5.8
AI Decision-Scenario Walkthroughs,2,6.6,6.4,6.3,6.7,6.8,5.7,6.6,6.8
AI Decision-Scenario Walkthroughs,3,7.4,7.1,7.0,7.5,7.5,5.0,7.7,7.8
Implementation Governance Board,1,6.4,6.8,6.5,6.3,6.7,5.5,6.6,6.8
Implementation Governance Board,2,7.1,7.6,7.2,7.0,7.4,4.8,7.6,7.8
Implementation Governance Board,3,7.8,8.3,7.9,7.7,8.0,4.1,8.6,8.6
Community Feedback and Accountability Forum,1,6.7,6.7,6.8,6.5,7.0,5.4,6.4,6.2
Community Feedback and Accountability Forum,2,7.5,7.4,7.6,7.3,7.8,4.7,7.5,7.3
Community Feedback and Accountability Forum,3,8.3,8.0,8.4,8.1,8.5,4.0,8.5,8.2
