initiative,ownership,funding,maintenance,learning_routines,repair_pathways,evaluation_cadence,public_reporting,community_accountability,sunset_criteria,implementation_owner
AI-assisted research repository,0.78,0.70,0.72,0.80,0.64,0.76,0.62,0.58,0.60,research_operations
Community-led systems design lab,0.72,0.64,0.70,0.78,0.72,0.74,0.68,0.82,0.66,participatory_design_office
Public value evaluation framework,0.80,0.74,0.78,0.84,0.76,0.86,0.74,0.70,0.72,evaluation_office
Climate resilience service portfolio,0.70,0.66,0.72,0.76,0.74,0.72,0.70,0.78,0.68,resilience_office
Design governance and ethics board,0.82,0.70,0.78,0.78,0.82,0.76,0.76,0.74,0.72,governance_office
Institutional learning infrastructure,0.84,0.76,0.80,0.88,0.70,0.84,0.70,0.64,0.70,learning_office
Participatory AI service prototype,0.66,0.58,0.60,0.68,0.64,0.66,0.58,0.70,0.62,ai_governance_team
Stewardship and repair playbook,0.86,0.72,0.84,0.84,0.88,0.82,0.78,0.78,0.80,stewardship_office
Design operations evidence system,0.80,0.72,0.82,0.86,0.72,0.80,0.66,0.62,0.70,research_operations
Public sector design capability academy,0.76,0.70,0.74,0.82,0.70,0.76,0.68,0.72,0.68,capability_office
